"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"0","0","1377","13062","326","60"
"1","1","1416","13468","326","61.6"
"2","2","1453","13877","325","63.85"
"3","3","1490","14283","325","58.5"
"4","4","1527","14696","324","61.5"
"5","5","1565","15114","324","62.35"
"6","6","1602","15533","325","61.75"
"7","7","1640","15953","325","60.95"
"8","8","1677","16376","325","62.4"
"9","9","1714","16802","325","63.1"
"10","10","1750","17221","324","58.7"
"11","11","1786","17640","324","58"
"12","12","1823","18065","323","59.6"
"13","13","1858","18485","323","58.15"
"14","14","1892","18898","322","53.95"
"15","15","1928","19319","322","56.6"
"16","16","1962","19732","324","54.3"
"17","17","1993","20142","324","53.3"
"18","18","2027","20551","324","52.45"
"19","19","2059","20956","324","51.7"
"20","20","2089","21353","324","49.65"
"21","21","2121","21750","324","50.3"
"22","22","2149","22135","323","45.6"
"23","23","2177","22514","323","44.2"
"24","24","2205","22888","322","42.15"
"25","25","2231","23259","322","44.2"
"26","26","2256","23618","324","41.05"
"27","27","2281","23971","324","38.65"
"28","28","2303","24317","324","40.55"
"29","29","2324","24646","324","34.3"
"30","30","2346","24974","324","36.1"
"31","31","2365","25286","324","33.85"
"32","32","2382","25586","323","29.5"
"33","33","2399","25882","323","31.5"
"34","34","2415","26165","322","31.75"
"35","35","2428","26427","322","24.1"
"36","36","2441","26686","324","26.1"
"37","37","2452","26930","324","25.3"
"38","38","2461","27156","325","21.55"
"39","39","2470","27373","325","20.35"
"40","40","2476","27571","324","18.85"
"41","41","2481","27750","324","11.65"
"42","42","2485","27916","324","10.7"
"43","43","2488","28066","324","7.2"
"44","44","2488","28197","323","2.5"
"45","45","2487","28312","323","-1.35"
"46","46","2485","28414","325","-3.05"
"47","47","2481","28501","325","-4.35"
"48","48","2475","28563","326","-12"
"49","49","2469","28615","326","-12.85"
"50","50","2460","28653","326","-14.75"
"51","51","2451","28678","326","-16.05"
"52","52","2439","28687","326","-17.05"
"53","53","2427","28681","326","-17.65"
"54","54","2413","28658","327","-21.65"
"55","55","2397","28622","327","-21.55"
"56","56","2381","28573","328","-21.85"
"57","57","2362","28502","328","-25.5"
"58","58","2342","28413","328","-31"
"59","59","2322","28320","328","-24.2"
"60","60","2299","28199","329","-31.2"
"61","61","2277","28071","329","-30.05"
"62","62","2251","27920","330","-33.75"
"63","63","2226","27755","330","-37.05"
"64","64","2199","27577","330","-36.25"
"65","65","2169","27379","330","-39.55"
"66","66","2140","27166","331","-41.5"
"67","67","2110","26933","331","-47.05"
"68","68","2078","26694","332","-44.6"
"69","69","2047","26443","332","-44.55"
"70","70","2012","26170","333","-47.9"
"71","71","1977","25884","333","-51.7"
"72","72","1942","25588","334","-50.05"
"73","73","1906","25274","334","-56"
"74","74","1868","24947","335","-56.15"
"75","75","1829","24606","335","-59"
"76","76","1792","24259","336","-58.9"
"77","77","1752","23899","336","-59.95"
"78","78","1708","23521","337","-61"
"79","79","1668","23128","337","-67.95"
"80","80","1627","22735","338","-64.25"
"81","81","1585","22331","338","-64.95"
"82","82","1556","21944","339","-65.5"
"83","83","1552","21623","339","-53.2"
"84","84","1564","21374","340","-38.75"
"85","85","1594","21208","340","-26.8"
"86","86","1634","21125","341","-13.15"
"87","87","1679","21120","341","0.25"
"88","88","1725","21189","342","18.3"
"89","89","1764","21304","342","31.8"
"90","90","1803","21449","342","33.3"
"91","91","1837","21607","342","36.1"
"92","92","1868","21751","343","15.9"
"93","93","1893","21904","343","14.55"
"94","94","1913","22054","342","10.75"
"95","95","1928","22185","342","1.2"
"96","96","1936","22286","342","-15.45"
"97","97","1938","22362","342","-24.05"
"98","98","1933","22408","342","-37.1"
"99","99","1921","22438","342","-34.9"
"100","100","1902","22437","342","-39.15"
"101","101","1880","22407","342","-41.65"
"102","102","1845","22325","342","-47.35"
"103","103","1806","22201","342","-54.4"
"104","104","1762","22036","342","-53.95"
"105","105","1710","21801","342","-72.45"
"106","106","1653","21542","343","-63.65"
"107","107","1590","21221","343","-71.6"
"108","108","1522","20844","344","-80.4"
"109","109","1449","20420","344","-81.4"
"110","110","1375","19946","345","-86.35"
"111","111","1293","19415","345","-94.15"
"112","112","1206","18833","346","-96.75"
"113","113","1117","18201","346","-103.55"
"114","114","1027","17526","347","-106.65"
"115","115","935","16809","347","-112.1"
"116","116","844","16059","348","-112"
"117","117","748","15266","348","-117"
"118","118","654","14450","350","-118.3"
"119","119","562","13615","350","-115.65"
"120","120","468","12754","351","-116.15"
"121","121","379","11880","351","-115.9"
"122","122","296","11004","352","-112.9"
"123","123","214","10121","352","-113.1"
"124","124","145","9265","352","-109.25"
"125","125","94","8466","352","-91.95"
"126","126","58","7724","353","-81.9"
"127","127","46","7081","353","-62.2"
"128","128","46","6539","353","-34.5"
"129","129","44","6058","353","-20"
"130","130","44","5636","354","-9.15"
"131","131","44","5275","354","11.85"
"132","132","43","4960","354","26.55"
"133","133","40","4653","354","27.15"
"134","134","34","4343","354","14.15"
"135","135","27","4040","354","9.8"
"136","136","17","3730","354","-2.05"
"137","137","8","3414","354","-15.15"
"138","138","-8","3079","354","-32.8"
"139","139","-22","2754","354","-41.45"
"140","140","-35","2451","354","-36.4"
"141","141","-54","2154","354","-34.9"
"142","142","-72","1868","354","-35.65"
"143","143","-89","1599","354","-27.55"
"144","144","-106","1333","354","-28.7"
"145","145","-121","1082","354","-24.1"
"146","146","-140","820","354","-28.1"
"147","147","-158","557","354","-34.25"
"148","148","-172","309","354","-31.05"
"149","149","-191","57","354","-31.65"
"150","150","-208","-190","354","-33.8"
"151","151","-222","-423","354","-29.55"
"152","152","-241","-660","354","-30.4"
"153","153","-256","-893","354","-32.3"
"154","154","-272","-1118","353","-28.6"
"155","155","-287","-1334","353","-27.3"
"156","156","-302","-1546","353","-23.8"
"157","157","-315","-1752","353","-24.4"
"158","158","-327","-1947","353","-19.95"
"159","159","-343","-2144","353","-18.6"
"160","160","-357","-2339","353","-21.4"
"161","161","-366","-2522","353","-18.35"
"162","162","-381","-2713","353","-20.25"
"163","163","-392","-2902","353","-25.3"
"164","164","-400","-3076","353","-21.45"
"165","165","-410","-3251","353","-23.1"
"166","166","-422","-3428","353","-25.95"
"167","167","-430","-3598","353","-28.2"
"168","168","-439","-3762","353","-26.55"
"169","169","-447","-3925","353","-32.05"
"170","170","-450","-4067","353","-28"
"171","171","-459","-4211","353","-28.3"
"172","172","-465","-4347","352","-30.3"
"173","173","-466","-4462","352","-25.75"
"174","174","-473","-4578","352","-25.6"
"175","175","-476","-4683","352","-24.95"
"176","176","-478","-4773","352","-18"
"177","177","-480","-4857","352","-20.5"
"178","178","-477","-4923","352","-15.65"
"179","179","-481","-4994","352","-15.55"
"180","180","-480","-5052","352","-16.7"
"181","181","-475","-5089","352","-7.9"
"182","182","-476","-5128","352","-7.95"
"183","183","-473","-5158","352","-8.35"
"184","184","-466","-5166","351","-0.15"
"185","185","-461","-5167","351","2.5"
"186","186","-459","-5166","351","4.75"
"187","187","-453","-5156","351","5.85"
"188","188","-443","-5133","351","8.85"
"189","189","-438","-5113","351","9.9"
"190","190","-430","-5091","351","4.45"
"191","191","-418","-5058","351","4.9"
"192","192","-411","-5028","351","2.55"
"193","193","-401","-4992","351","-1.5"
"194","194","-390","-4949","351","-0.8"
"195","195","-379","-4894","351","-0.75"
"196","196","-363","-4818","351","4.55"
"197","197","-354","-4743","351","6.05"
"198","198","-340","-4660","351","3.45"
"199","199","-323","-4562","351","6.1"
"200","200","-312","-4467","351","5.2"
"201","201","-297","-4363","351","3.25"
"202","202","-278","-4245","351","5.95"
"203","203","-266","-4131","351","4.8"
"204","204","-250","-4005","351","4"
"205","205","-230","-3860","351","10.45"
"206","206","-217","-3716","351","12.4"
"207","207","-200","-3568","351","10.6"
"208","208","-182","-3409","351","14.55"
"209","209","-165","-3247","351","13.9"
"210","210","-147","-3084","351","14.4"
"211","211","-129","-2916","351","12"
"212","212","-107","-2735","351","16"
"213","213","-93","-2562","351","15.1"
"214","214","-75","-2384","351","12.8"
"215","215","-57","-2198","351","18.85"
"216","216","-39","-2011","351","16.65"
"217","217","-19","-1814","351","20.15"
"218","218","-5","-1629","351","18.75"
"219","219","9","-1449","351","13.6"
"220","220","26","-1263","351","17.45"
"221","221","35","-1097","351","13.3"
"222","222","46","-941","351","6.65"
"223","223","57","-785","351","7"
"224","224","60","-649","351","5.55"
"225","225","63","-528","351","0.5"
"226","226","34","-480","351","-2.55"
"227","227","0","-506","351","-32.35"
"228","228","0","-495","351","-24.1"
"229","229","0","-472","351","-13.95"
"230","230","0","-458","351","-17.75"
"231","231","-2","-450","351","-21.3"
"232","232","-4","-447","351","-23.35"
"233","233","-10","-454","351","-26.4"
"234","234","-18","-472","351","-29.75"
"235","235","-28","-499","351","-30.3"
"236","236","-40","-541","351","-33.2"
"237","237","-54","-589","351","-31.75"
"238","238","-70","-651","351","-31.5"
"239","239","-89","-730","351","-33.05"
"240","240","-108","-824","351","-34.2"
"241","241","-131","-937","351","-36.15"
"242","242","-154","-1067","351","-38.7"
"243","243","-180","-1216","351","-40.4"
"244","244","-207","-1384","351","-42.85"
"245","245","-237","-1575","351","-47.6"
"246","246","-267","-1783","351","-49.95"
"247","247","-298","-2011","351","-53.5"
"248","248","-332","-2260","350","-58.1"
"249","249","-366","-2527","350","-61.95"
"250","250","-401","-2811","350","-65.05"
"251","251","-438","-3115","350","-69.4"
"252","252","-475","-3433","350","-74.1"
"253","253","-513","-3764","350","-75"
"254","254","-553","-4105","350","-75.7"
"255","255","-591","-4456","350","-76.9"
"256","256","-632","-4822","349","-80.5"
"257","257","-671","-5195","349","-80.85"
"258","258","-711","-5577","349","-82.35"
"259","259","-752","-5965","349","-81.4"
"260","260","-792","-6364","348","-84.05"
"261","261","-832","-6773","348","-87.95"
"262","262","-872","-7183","348","-87.05"
"263","263","-912","-7600","348","-87.05"
"264","264","-952","-8027","347","-92.85"
"265","265","-991","-8450","347","-90.6"
"266","266","-1031","-8884","346","-94.3"
"267","267","-1070","-9321","346","-97.6"
"268","268","-1109","-9758","345","-97.55"
"269","269","-1148","-10198","345","-100"
"270","270","-1186","-10629","344","-94.3"
"271","271","-1224","-11065","344","-97.5"
"272","272","-1262","-11499","343","-95.85"
"273","273","-1300","-11930","343","-94.2"
"274","274","-1337","-12361","342","-92.95"
"275","275","-1374","-12790","342","-94"
