"TraceType","Single"
"TriggerType",""
"SamplePeriod","0:0:1:0:0"
"SampleRate","1"
"ExternalFileStorage","False"
"MaxSamplesPerFile","4500"
"MaxDataSetSize","100"
"TargetDirectory","C:\OMRON\Data\DataTrace\"
"FilePrefix",""

"SampleTimingType","cyclic"
"TaskName","BaseControl"
"SamplingInterval","1"
"Triggers","True:InvertedU_trajV2.FSM_Status_InvertedU:GreaterThen:10"
"PostTriggerDataRatio","100"
"StartOnRun","False"
"EnableRealTimeDisplay","False"
"BehaviorWhenMax","Stop"

"TriggerRecordTime","1775584356046000000"
"StartRawTime","1775584356046000000"
"Index","Date","ClockTime","RawTime","TraceSampID","R_Delta3.Monitor.CmdPosCartesian.Base.x.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Pos:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Vel:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.x.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.y.Acc:LREAL","newPieceAvailable:BOOL","R_Delta3.Monitor.CmdPosCartesian.Base.z.Acc:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Vel_Trans:LREAL","R_Delta3.Monitor.CmdPosCartesian.Base.TCP.Acc_Trans:LREAL","R_Delta3.TrajV2.Monitor.Status.Movement.MovingSync:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Stopped:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.Aborting:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.LastBlending_Active:BOOL","R_Delta3.TrajV2.Monitor.Status.Movement.MovementInBuffer:BOOL","InvertedU_trajV2.MoveSync:BOOL","R_Delta3.TrajV2.Actions.MoveSync:BOOL"
"1139","2026-04-07","17:52:36.04","1775584356046000000","","200","150","-820","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"1140","2026-04-07","17:52:36.04","1775584356048000000","","199.99999999999997","150","-819.99980659589858","-1.4210854715202004E-11","0","0.096702050711883203","-7.1054273576010019E-09","0","1","48.351025355941601","0.096702050711883203","48.351025355941601","1","0","0","0","1","0","0"
"1141","2026-04-07","17:52:36.05","1775584356050000000","","199.99999999999997","150","-819.99846582757971","0","0","0.67038415943443397","7.1054273576010019E-09","0","1","286.84105436127538","0.67038415943443397","286.84105436127538","1","0","0","0","0","0","0"
"1142","2026-04-07","17:52:36.05","1775584356052000000","","199.99999999999997","150","-819.99486604744959","0","0","1.7998900650582073","0","0","1","564.75295281188664","1.7998900650582073","564.75295281188664","1","0","0","0","0","0","0"
"1143","2026-04-07","17:52:36.05","1775584356054000000","","199.99999999999997","150","-819.9879341685712","0","0","3.4659394391951537","0","0","1","833.02468706847321","3.4659394391951537","833.02468706847321","1","0","0","0","0","0","0"
"1144","2026-04-07","17:52:36.05","1775584356056000000","","199.99999999999997","150","-819.97663522143853","0","0","5.6494735663363826","0","0","1","1091.7670635706145","5.6494735663363826","1091.7670635706145","1","0","0","0","0","0","0"
"1145","2026-04-07","17:52:36.05","1775584356058000000","","199.99999999999997","150","-819.95997191075037","0","0","8.331655344079536","0","0","1","1341.0908888715767","8.331655344079536","1341.0908888715767","1","0","0","0","0","0","0"
"1146","2026-04-07","17:52:36.06","1775584356060000000","","199.99999999999997","150","-819.93698417218445","0","0","11.493869282958258","0","0","1","1581.1069694393609","11.493869282958258","1581.1069694393609","1","0","0","0","0","0","0"
"1147","2026-04-07","17:52:36.06","1775584356062000000","","199.99999999999997","150","-819.90674872917168","0","0","15.117721506385351","0","0","1","1811.9261117135466","15.117721506385351","1811.9261117135466","1","0","0","0","0","0","0"
"1148","2026-04-07","17:52:36.06","1775584356064000000","","199.99999999999997","150","-819.86837864967003","0","0","19.185039750823307","0","0","1","2033.6591222189782","19.185039750823307","2033.6591222189782","1","0","0","0","0","0","0"
