"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"0","0","-788","-9755","334","14.4"
"1","1","-779","-9677","334","17.8"
"2","2","-769","-9609","334","11.15"
"3","3","-759","-9535","334","10.95"
"4","4","-748","-9455","335","12.9"
"5","5","-736","-9371","335","12.7"
"6","6","-725","-9284","335","12.5"
"7","7","-712","-9193","335","11.6"
"8","8","-699","-9098","335","11.05"
"9","9","-687","-8999","335","11"
"10","10","-673","-8897","335","8.5"
"11","11","-660","-8791","335","8.4"
"12","12","-645","-8678","335","8.2"
"13","13","-631","-8561","335","8.65"
"14","14","-617","-8442","335","6.75"
"15","15","-601","-8315","335","6.85"
"16","16","-586","-8184","335","6.25"
"17","17","-571","-8050","335","4.95"
"18","18","-554","-7910","336","4.65"
"19","19","-538","-7763","336","5.9"
"20","20","-522","-7609","336","7.7"
"21","21","-504","-7447","336","9.3"
"22","22","-488","-7283","336","9.1"
"23","23","-471","-7115","336","9.4"
"24","24","-453","-6941","336","10.55"
"25","25","-435","-6762","336","10.9"
"26","26","-417","-6581","336","11.4"
"27","27","-399","-6396","336","12.7"
"28","28","-381","-6205","336","13.7"
"29","29","-363","-6012","336","14.45"
"30","30","-344","-5816","336","13.7"
"31","31","-326","-5618","336","15.3"
"32","32","-307","-5413","336","17.5"
"33","33","-288","-5207","336","18.65"
"34","34","-269","-4996","336","19.85"
"35","35","-251","-4788","336","19.5"
"36","36","-232","-4577","336","19.85"
"37","37","-212","-4360","336","22.45"
"38","38","-194","-4143","336","24.15"
"39","39","-175","-3928","336","22.9"
"40","40","-157","-3713","336","23.1"
"41","41","-139","-3502","336","21.25"
"42","42","-122","-3293","336","20.3"
"43","43","-106","-3088","336","19.95"
"44","44","-89","-2884","336","19.6"
"45","45","-75","-2687","336","18.35"
"46","46","-62","-2494","336","18.05"
"47","47","-49","-2308","336","16.3"
"48","48","-38","-2129","336","15.55"
"49","49","-28","-1960","336","12.75"
"50","50","-20","-1801","336","10.85"
"51","51","-13","-1651","336","9"
"52","52","-7","-1513","336","7"
"53","53","-3","-1387","336","3.95"
"54","54","-1","-1276","336","1.05"
"55","55","0","-1176","336","-1.65"
"56","56","0","-1091","336","-5.6"
"57","57","0","-1017","336","-8.95"
"58","58","0","-952","336","-12.4"
"59","59","0","-892","336","-13.2"
"60","60","-2","-837","336","-12.5"
"61","61","-7","-793","336","-12.4"
"62","62","-14","-764","336","-13.65"
"63","63","-25","-752","336","-15.3"
"64","64","-39","-760","336","-16.95"
"65","65","-56","-791","336","-20.55"
"66","66","-76","-844","336","-22.95"
"67","67","-99","-921","336","-25.6"
"68","68","-124","-1025","336","-29.45"
"69","69","-152","-1164","336","-38.9"
"70","70","-183","-1318","336","-37.35"
"71","71","-216","-1502","336","-40.75"
"72","72","-252","-1722","336","-51.3"
"73","73","-289","-1963","336","-53.95"
"74","74","-330","-2233","336","-58.5"
"75","75","-372","-2527","336","-64.1"
"76","76","-415","-2844","336","-66.7"
"77","77","-461","-3182","336","-69.05"
"78","78","-507","-3542","336","-71.4"
"79","79","-555","-3920","336","-72.7"
"80","80","-604","-4320","336","-75.8"
"81","81","-654","-4739","336","-79.65"
"82","82","-705","-5170","335","-78.45"
"83","83","-756","-5618","335","-79.05"
"84","84","-807","-6078","335","-79.8"
"85","85","-859","-6555","335","-82.5"
"86","86","-910","-7042","334","-83.4"
"87","87","-962","-7538","334","-83.4"
"88","88","-1012","-8045","334","-84.75"
"89","89","-1063","-8558","334","-85.3"
"90","90","-1113","-9076","333","-84.55"
"91","91","-1163","-9597","333","-84.45"
"92","92","-1213","-10124","333","-83.5"
"93","93","-1262","-10658","333","-86.25"
"94","94","-1310","-11191","332","-85.55"
"95","95","-1358","-11725","332","-83.85"
"96","96","-1406","-12263","332","-85.25"
"97","97","-1453","-12801","332","-86.15"
"98","98","-1499","-13338","332","-84.45"
"99","99","-1545","-13876","332","-85"
"100","100","-1590","-14411","332","-85.4"
"101","101","-1634","-14942","332","-82.3"
"102","102","-1677","-15472","330","-83.9"
"103","103","-1721","-15998","330","-82.6"
"104","104","-1762","-16519","329","-82.05"
"105","105","-1804","-17041","329","-83.8"
"106","106","-1844","-17555","330","-84.05"
"107","107","-1884","-18063","330","-81.55"
"108","108","-1923","-18571","331","-85.1"
"109","109","-1960","-19070","331","-83.7"
"110","110","-1997","-19562","330","-82.6"
"111","111","-2033","-20047","330","-82.4"
"112","112","-2068","-20524","328","-82.75"
