Time,M1:EncoderPosition,M2:EncoderPosition,M3:EncoderPosition,M4:EncoderPosition,M1:EncoderVelocity,M2:EncoderVelocity,M3:EncoderVelocity,M4:EncoderVelocity
0,20049.25,90078.75,59235.75,-418651.2,-670,102,310,6
0.001,19396,90176.75,59534.75,-418651.2,-642,102,288,-4
0.002,18759.75,90277.25,59814.5,-418654.8,-618,100,276,-2
0.003,18156.25,90375.25,60086.5,-418650.8,-590,94,264,8
0.004,17585,90469.5,60357,-418643.8,-568,92,268,6
0.005,17028.5,90562,60618.5,-418635,-554,94,254,10
0.006,16486.25,90656,60865.75,-418622.2,-528,100,242,14
0.007,15979,90750.75,61103.75,-418612.5,-492,96,234,6
0.008,15508.5,90845,61336.5,-418613.2,-462,98,232,-4
0.009,15061.25,90935,61555.5,-418618,-440,90,210,-2
0.01,14633,91016.5,61754.25,-418618.8,-424,74,192,0
0.011,14231.5,91089.75,61941.5,-418619,-392,70,186,-2
0.012,13859.75,91160.5,62117.75,-418620.8,-356,72,166,-2
0.013,13516.5,91225.5,62276,-418620.5,-330,62,148,0
0.014,13202.25,91278.5,62413,-418621.8,-306,48,132,-2
0.015,12914.25,91321.5,62532.75,-418625.8,-276,42,116,-4
0.016,12651.75,91360.75,62642.75,-418632.8,-254,38,106,-8
0.017,12416.75,91397.75,62742.25,-418641.2,-224,34,96,-6
0.018,12204.75,91427.75,62826.25,-418643.5,-208,22,78,2
0.019,12018.25,91448,62894.25,-418639.8,-176,18,64,6
0.02,11861,91464.5,62949.75,-418638.2,-146,18,52,-2
0.021,11729.75,91481,62999.25,-418642.5,-128,18,44,-4
0.022,11620,91495.25,63041.75,-418635.5,-94,12,40,14
0.023,11531.5,91505.25,63074.25,-418616.2,-76,8,26,22
0.024,11468.25,91511.5,63094.5,-418592,-52,4,14,24
0.025,11423,91515.75,63104.75,-418570.5,-40,4,8,16
0.026,11390,91518.25,63110.25,-418558.8,-26,2,2,8
0.027,11372.25,91518.25,63109,-418555.8,-10,0,-4,-2
0.028,11372.25,91517.75,63102.25,-418559,6,0,-8,-4
0.029,11381.5,91516.75,63090.75,-418564.5,12,-2,-16,-6
0.03,11395.75,91514,63070.5,-418570,18,-6,-22,-4
0.031,11424.25,91506,63046.5,-418569.5,38,-10,-26,4
0.032,11468.25,91494.25,63021.5,-418564.2,46,-12,-24,6
0.033,11521,91479,62991.75,-418558.5,52,-20,-34,4
0.034,11573.25,91455,62956.75,-418559,54,-26,-36,-4
0.035,11621.25,91426.5,62919.75,-418563.8,42,-24,-40,-4
0.036,11656,91403.75,62879.5,-418565.5,26,-18,-42,0
0.037,11680.75,91389.75,62840.25,-418563.2,24,-12,-36,0
0.038,11705,91376.5,62804.75,-418566.5,30,-14,-32,-4
0.039,11738,91364.75,62773.5,-418571.8,42,-12,-28,-4
0.04,11784.75,91351.5,62747.25,-418571.5,54,-16,-24,2
0.041,11849.5,91337.25,62722.5,-418570.5,74,-12,-26,-2
0.042,11925.5,91324.75,62696.5,-418575.2,74,-12,-28,-6
0.043,12000.25,91313.5,62671.25,-418580,76,-12,-24,-2
0.044,12061,91304.75,62647.5,-418578,62,-8,-22,4
0.045,12113.25,91297.75,62627.25,-418579.2,48,-6,-20,-4
0.046,12162.25,91288.75,62609.25,-418584.5,46,-10,-18,-6
0.047,12203.75,91278.75,62589.75,-418589.8,34,-10,-20,-4
0.048,12238.5,91269.25,62571.75,-418588.5,30,-8,-18,2
0.049,12265.5,91259.5,62552.25,-418588.8,20,-10,-20,-2
0.05,12284.25,91249.25,62532.5,-418593.5,12,-10,-18,-6
0.051,12288.75,91240.75,62515.75,-418599,0,-8,-16,-4
0.052,12288,91234.25,62502.5,-418599,0,-6,-12,2
0.053,12287.75,91227.75,62490.25,-418599.2,0,-6,-10,-2
0.054,12286.75,91221.25,62481.25,-418603.2,-2,-6,-8,-4
0.055,12282.25,91215,62472.25,-418608.2,-4,-6,-8,-4
0.056,12276.25,91210.25,62464.25,-418607.2,-6,-4,-8,4
0.057,12272.75,91206.5,62459,-418606.2,-2,-2,-2,-2
0.058,12271,91203.75,62458.5,-418610.2,-2,-2,0,-4
0.059,12267.5,91203,62460.75,-418614.8,-4,0,4,-6
0.06,12262.75,91202.5,62464,-418617.5,-4,-2,4,2
0.061,12259.25,91201.5,62470,-418614,-4,-2,8,4
0.062,12257.25,91201.5,62483.25,-418615.5,-2,0,16,-4
0.063,12254.75,91201.5,62500,-418620.2,-4,-2,18,-6
0.064,12247.75,91202.25,62516,-418624.2,-10,0,14,-4
0.065,12239,91204,62529.25,-418620.8,-8,2,14,6
0.066,12231.75,91205.25,62545,-418618,-8,2,18,0
0.067,12221.5,91208.5,62562,-418618,-14,4,16,0
0.068,12204.5,91214.25,62577.75,-418619,-18,6,12,0
0.069,12187.75,91222.25,62587,-418620.2,-16,10,8,0
0.07,12174.5,91230.25,62593.75,-418621.8,-10,6,6,-2
0.071,12166.5,91236,62599.75,-418622.5,-8,4,6,-2
0.072,12156,91240,62606.25,-418623.8,-12,4,6,-2
0.073,12137.5,91245.5,62609.75,-418625.8,-20,6,0,-2
0.074,12116,91253,62609.25,-418628.8,-22,10,-2,-4
0.075,12097.25,91262.75,62610.75,-418632.2,-18,10,2,-4
0.076,12079.25,91271.75,62615.25,-418634,-18,8,4,2
0.077,12060,91280.75,62617.25,-418630.5,-24,10,0,2
0.078,12039.5,91288.25,62616.5,-418632.2,-18,8,-2,-4
0.079,12024,91295.25,62615,-418636.5,-12,6,0,-4
0.08,12013.25,91302.25,62616,-418636.5,-8,8,2,4
0.081,12007,91308.25,62617,-418634,-6,6,0,0
0.082,11997.25,91315.5,62619.5,-418636.8,-12,8,4,-4
